,text,task1,task2,language
0,"hate wen females hit ah nigga with tht bro 😂😂, I’m tryna make u my la sweety , fuck ah bro",0,3,0
1,RT @airjunebug: When you're from the Bay but you're really a NY nigga at heart. W/ @supportcaleon https://t.co/mZ8BAYlnlf,0,3,0
2,"RT @DonaldJTrumpJr: Dear Democrats: The American people aren’t stupid, they know what spying is and no amount of gaslighting will change th…",1,1,0
3,RT @SheLoveTimothy: He ain’t on drugs he just bored. I be doing the same shit when I’m bored 😂 https://t.co/tkdjSbddET,0,3,0
4,"RT @TavianJordan: Summer ‘19 I’m coming for you ! No boring shit ! Beach days, road trips, kickbacks and HOT DAYS ! I’m ready I’m ready I’m…",1,1,0
5,@HermesCxbin turn that shit off,0,3,0
6,RT @spaceboykenny: i know fuck bout cel shading so have some horny instead https://t.co/ciPIEN8ZJa,0,3,0
7,Polo Ts the only other ones but that’s if you feeeling fly fly like bitch don’t touch me.,0,3,0
8,I fucking love life !!!,0,3,0
9,@Nig_BMT ‘In the newspaper ‘ I weak😂😂😂. Bro this ending has pissed me off😭,1,1,0
10,"Nobody:
Angie: U getting dick ? Cus ur ass looks bigger",0,2,0
11,"RT @tedlieu: Oh look, @realDonaldTrump is now sending Rudy Giuliani to actively seek the assistance of a foreign government to help Trump i…",1,1,0
12,"RT @tikkkii: bitches in real life be bird as fuck and only good for sex, I’m sick",0,2,0
13,@thekoyostore @Rainbow6Game hnnnng I need,1,1,0
14,"It was obvious from the very beginning he always regarded himself as a maverick, which the PM’s letter also suggest… https://t.co/RIVYzNePq1",1,1,0
15,Get surgical with that shit 💉 https://t.co/5u8Di1waFC,0,3,0
16,I really don’t want to start my weekend off this way - yet here I am. This vile post should be labeled a lie-… https://t.co/RFYSuDDb1b,1,1,0
17,SUCH A FUCKING BEAST HONESTLY👀🐐🐐🐐,0,3,0
18,@StrangeMentle DELTARUNES TRACKS IS FUCKING BANGERS ALL OF EM,0,3,0
19,RT @NataliaNoyes: might fuck around and go missing for a few months,0,3,0
20,"RT @melissafumeros: i mean honestly i’ve seen a lot of dumb shit on twitter but this one really is THE dumbest so congrats emily, ur stupid…",0,2,0
21,RT @KeithOlbermann: NYC FOUND DOG ALERT: he’s still missing and he’s still at the 28th. Somebody’s missing him. PLEASE RT. https://t.co/8GO…,1,1,0
22,@AEWrestling Have you booked hangman vs orange Cassidy yet?,1,1,0
23,@viddywel2 Think you're funny,1,1,0
24,"RT @zipamoney: Holy shit I get the best fucking subs. 
They have Louis Vuitton bags, they’re medical students, they’re lawyers and nurses,…",0,3,0
